,AT,SA,DA,Length,SRCE,DSTI
1,2020-05-23 20:11:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
6,2020-05-23 20:11:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1514,Google_speaker,Actie_uitsturen
7,2020-05-23 20:11:05+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
10,2020-05-23 20:11:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,1308,Laptop,Actie_uitsturen
11,2020-05-23 20:11:10+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
23,2020-05-23 20:11:20+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
34,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,2264,Tablet,Actie_uitsturen
35,2020-05-23 20:11:35+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,984,Phone1,Actie_uitsturen
36,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:16,400,Tablet,Actie_uitsturen
38,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,33:33:ff:83:47:bd,196,Tablet,Actie_uitsturen
40,2020-05-23 20:11:35+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
41,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,2884,Tablet,Actie_uitsturen
43,2020-05-23 20:11:35+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
46,2020-05-23 20:11:35+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
47,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:02,172,Tablet,Actie_uitsturen
49,2020-05-23 20:11:40+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
51,2020-05-23 20:11:40+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,2256,Tablet,Actie_uitsturen
52,2020-05-23 20:11:40+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,1385,Tablet,Actie_uitsturen
53,2020-05-23 20:11:40+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:02,180,Tablet,Actie_uitsturen
54,2020-05-23 20:11:40+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,1910,Tablet,Actie_uitsturen
55,2020-05-23 20:11:40+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1537,Google_speaker,Actie_uitsturen
58,2020-05-23 20:11:40+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,738,Phone1,Actie_uitsturen
61,2020-05-23 20:11:40+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,656,Phone1,Actie_uitsturen
62,2020-05-23 20:11:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
65,2020-05-23 20:11:45+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,710,Tablet,Actie_uitsturen
66,2020-05-23 20:11:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,1108,Tablet,Actie_uitsturen
67,2020-05-23 20:11:45+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:02,180,Tablet,Actie_uitsturen
68,2020-05-23 20:11:45+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,730,Tablet,Actie_uitsturen
69,2020-05-23 20:11:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
72,2020-05-23 20:11:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
74,2020-05-23 20:11:50+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,354,Tablet,Actie_uitsturen
75,2020-05-23 20:11:50+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,374,Tablet,Actie_uitsturen
81,2020-05-23 20:11:50+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,1662,Tablet,Actie_uitsturen
84,2020-05-23 20:11:55+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
92,2020-05-23 20:12:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
93,2020-05-23 20:12:05+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
99,2020-05-23 20:12:05+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,277,Phone1,Actie_uitsturen
100,2020-05-23 20:12:05+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
